Id,CategoryId,SubTypeCode,SubtypeId
--,----------,-----------,---------
1,5f4f7d53-5d42-4152-b61a-0fd10d496d81,220,eec545e0-f553-4406-b351-2981eb28bc04
2,5f4f7d53-5d42-4152-b61a-0fd10d496d81,221,088465c6-6a2f-4607-9124-7ec488aac426
3,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,48396d56-1a0a-4e11-171a-08db2492311d
4,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,91628a4f-c250-438c-176b-08db2492311d
5,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,9fc76c10-04f3-4749-9b81-68ba153d908d
6,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,f5620039-d50a-469f-1739-08db2492311d
7,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,8087b069-fa5f-4057-172e-08db2492311d
8,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,0a509faf-ea1a-40a4-16ea-08db2492311d
9,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,fad94df3-a5a5-4e26-1748-08db2492311d
10,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,61fe938b-9753-4698-16f4-08db2492311d
11,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,815b6c59-b24b-4232-172f-08db2492311d
12,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,0e470d21-6ab6-4d66-1747-08db2492311d
13,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,51d5f47a-e574-4548-170a-08db2492311d
14,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,21a3d48b-276d-4a60-1782-08db2492311d
15,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,de802d47-83df-44e7-170e-08db2492311d
16,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,53459c54-e173-48ae-1727-08db2492311d
17,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,31b846e8-8313-43b6-16df-08db2492311d
18,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,ac6a4ba2-49a4-49c0-1706-08db2492311d
19,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,aa04fa3f-cee9-4861-1781-08db2492311d
20,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,9d76c226-beb2-4008-1785-08db2492311d
21,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,7cc83b1e-ab85-475b-1715-08db2492311d
22,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,53b552cd-c7a4-4b74-8bc5-8ee23f7b24fb
23,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,5c5195d9-7772-4124-8699-4ea28b972ec4
24,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,220fe431-afb6-49c9-9c8b-781369fa6c8e
25,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,35d6478a-23f5-4779-9fab-c5a001105848
26,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,b38e1467-6abe-4a6d-af68-46eab5211444
27,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,9ee84c1a-a7bc-44e2-174d-08db2492311d
28,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,ddab1be1-5b00-469d-1700-08db2492311d
29,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,81a5638d-21a9-4ed2-174c-08db2492311d
30,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,3e945df3-1105-47af-87f9-b8a10938ac15
31,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,8616499c-72ab-473b-87be-f60885a3f2c5
32,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,fdc9bcfe-5954-4e56-807b-b14dfea378f9
33,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,2e3aab6c-2c90-4a92-1729-08db2492311d
34,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,7343564f-5fd0-4412-1749-08db2492311d
35,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,9d272a0f-9ebd-4c0b-1770-08db2492311d
36,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,3d1f2b01-c56d-4e0f-b374-2ec0992e71a5
37,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,9dcf47fc-ea40-45f2-9961-4e9e0fa1d518
38,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,213a5b05-c7d4-4074-178e-08db2492311d
39,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,50167f8b-0bc9-4656-b6ce-30a6369e2f40
40,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,9dd101a2-7014-4e30-adfb-0ca8158f7fec
41,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,6c818c38-1ac7-42c3-a765-1686709eb65a
42,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,1f545b55-eb19-4b45-bf8c-4c6c3cb20140
43,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,cd3e8e63-7f76-4cc2-16bb-08db2492311d
44,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,e8149d3d-4c7e-48c8-938f-80f90255f198
45,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,8a01a2f9-d7f0-475b-1726-08db2492311d
46,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,0adf15b8-ca6f-4872-1775-08db2492311d
47,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,839a98ce-ea43-4af9-bb23-9a92fa1ffcfb
48,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,d8705f98-e075-4738-178f-08db2492311d
49,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,04764b9d-51d1-4edc-af7e-b3cc21b50f19
50,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,d9f5c073-b66d-40a8-9e21-59c0028d8f76
51,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,2aa0331f-83dc-42fb-b41c-f43f602008e2
52,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,6c5f1082-63f6-4778-b785-0c5a00f68a8a
53,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,f6da33c8-56df-4121-fa55-08db3ec1b8d0
54,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,b8ca0787-dfd5-4296-9d5a-9866441529d4
55,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,70dfd6ff-57da-4a1c-8c0e-40ce1c1921b2
56,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,e1a2468c-66f3-4f10-1757-08db2492311d
57,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,108d14e4-e2c1-4acb-93e8-c00cd21c8541
58,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,48a6e191-d173-4314-98f9-2ccf28ef10d9
59,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,548fb271-273e-4572-b90d-77ff2ce82a8c
60,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,966e6f62-fee6-401d-aa94-e97f977e1c84
61,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,e028ee4a-a379-470c-178d-08db2492311d
62,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,6986713b-fa30-442d-ba15-d88642e21b61
63,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,711f1333-5c3f-4ee9-a167-71747ec3d980
64,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,e8963612-d9b8-4cd2-1754-08db2492311d
65,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,06aa93d3-2009-40b8-8c8f-367ab360a45c
66,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,206824fd-8815-4725-1f1c-08db7e533518
67,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,35958712-30aa-4d85-173c-08db2492311d
68,b01320dc-dc3e-4617-a6c3-fb6b90e1c0ea,NULL,38006eca-9aa7-48d5-215b-08db7e535d28
69,a46a373b-38bd-4c61-a31b-336b4896b0df,NULL,c9193b50-edeb-4e4a-16ba-08db2492311d
70,a46a373b-38bd-4c61-a31b-336b4896b0df,NULL,5a337441-2586-493c-16fa-08db2492311d
71,a46a373b-38bd-4c61-a31b-336b4896b0df,NULL,655ad2ac-e823-4ffc-16a2-08db2492311d
72,a46a373b-38bd-4c61-a31b-336b4896b0df,NULL,b1d1ba64-068e-40ba-174e-08db2492311d
73,a46a373b-38bd-4c61-a31b-336b4896b0df,NULL,c00cd9f4-90d2-4558-16d0-08db2492311d
74,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,71ace7f5-3e3e-401a-16b5-08db2492311d
75,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,5630d20e-1968-4eda-16af-08db2492311d
76,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,216425f3-e38d-49b6-16cb-08db2492311d
77,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,d71ab814-2e08-4b60-16ca-08db2492311d
78,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,2db3270b-a8aa-4ddc-167a-08db2492311d
79,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,aab0b3ad-0897-40fd-16f8-08db2492311d
80,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,44c1f15c-c5f5-4a19-16d3-08db2492311d
81,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,cf15836e-34aa-4f6c-16cd-08db2492311d
82,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,a954c405-5003-4bd1-16cf-08db2492311d
83,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,4ac4edcf-a499-49c7-172c-08db2492311d
84,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,510f49f5-7540-4ecc-177c-08db2492311d
85,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,bb085d88-fbbd-43f8-215a-08db7e535d28
86,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,e0c2fa79-e90e-4025-16e8-08db2492311d
87,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,9c032a04-6c6e-426f-1768-08db2492311d
88,61c8c1c9-9aba-4eae-983a-66dd2ef70aba,NULL,72ce177d-01e1-4492-175b-08db2492311d
89,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,2a17a29c-bdda-4619-1709-08db2492311d
90,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,46830581-86cb-43bb-1776-08db2492311d
91,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,eec545e0-f553-4406-b351-2981eb28bc04
92,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,088465c6-6a2f-4607-9124-7ec488aac426
93,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,fb3fb475-2b95-4658-1764-08db2492311d
94,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,3b7603f6-c43d-46ff-16fe-08db2492311d
95,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,a35e33bb-d786-4c93-1703-08db2492311d
96,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,da73eacf-2ab7-4ce8-170f-08db2492311d
97,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,ab90e818-3bf4-4649-1728-08db2492311d
98,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,316c580e-83c3-494d-1724-08db2492311d
99,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,55433d04-7a21-4929-1719-08db2492311d
100,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,7c52404d-cb9e-460f-171c-08db2492311d
101,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,e8d5817e-6dd4-421b-1761-08db2492311d
102,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,788972e5-e2f0-400c-171b-08db2492311d
103,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,49debaf0-5fc9-4cbd-175c-08db2492311d
104,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,adcbeceb-7a6d-478b-a543-08db3f7b8a0a
105,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,2cecd7f0-4d8b-45df-1f1a-08db7e533518
106,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,bc6bdcde-a219-4e41-176d-08db2492311d
107,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,e3d72022-fed4-4569-177f-08db2492311d
108,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,a1ef5e98-e10c-40c3-174b-08db2492311d
109,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,3c6da34c-21d1-4403-1714-08db2492311d
110,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,bca12a54-b4e8-468a-1733-08db2492311d
111,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,d4249082-76ea-4177-1708-08db2492311d
112,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,f53b2b07-e070-449a-171e-08db2492311d
113,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,27a63d6d-610c-46fc-171d-08db2492311d
114,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,ad114736-6162-40ef-1722-08db2492311d
115,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,68a59320-110a-4bae-1701-08db2492311d
116,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,a4b7e25c-1a70-493b-179d-08db2492311d
117,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,5806a4f9-8246-4317-86af-721325bb31ba
118,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,f85f4eb7-8fad-41c0-a25b-3b5badf6e7ad
119,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,dad99e57-7139-448d-ac98-3cf227508315
120,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,6d94dad1-aed4-4102-1778-08db2492311d
121,309c3618-d759-40c2-a7a0-95a4dda4256d,NULL,0d16276d-2373-48ce-8c43-0121fbc69a34
122,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,dd2afe24-5a3c-4f87-173b-08db2492311d
123,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,d44d1f92-b485-4c44-1716-08db2492311d
124,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,c31cce4b-0efa-4f06-1694-08db2492311d
125,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,92a07693-506c-4e71-16d7-08db2492311d
126,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,dcbf02e5-de7c-4a63-167b-08db2492311d
127,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,be07ec88-4423-486a-16b7-08db2492311d
128,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,d398260a-1725-457c-16e9-08db2492311d
129,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,8ea2d3c3-ad18-44e9-1707-08db2492311d
130,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,c9288b0d-e9fb-4f37-16e4-08db2492311d
131,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,e3984497-fa29-4216-1691-08db2492311d
132,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,90953eef-d7f8-40fb-1796-08db2492311d
133,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,30d42719-86e5-44cf-1725-08db2492311d
134,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,2f170e29-2740-447a-816e-e34cde56030a
135,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,b2de905b-7804-4130-178c-08db2492311d
136,9a0c94d5-361d-430e-8660-52637bc8c638,NULL,6f9b2322-5f07-49b7-173f-08db2492311d
137,044c7f73-1750-4d12-9404-20f17f06d79d,NULL,3903aa4d-237c-49a3-b637-96c33e10edcd
138,044c7f73-1750-4d12-9404-20f17f06d79d,NULL,7f4877c1-4aa8-4ef7-1750-08db2492311d
139,044c7f73-1750-4d12-9404-20f17f06d79d,NULL,ac9f1ccd-38b0-41b2-1769-08db2492311d
140,044c7f73-1750-4d12-9404-20f17f06d79d,NULL,4689416b-bb33-40f8-1771-08db2492311d
141,044c7f73-1750-4d12-9404-20f17f06d79d,NULL,f3224c8c-9eec-4817-b1d3-9cbd71517c86
142,044c7f73-1750-4d12-9404-20f17f06d79d,NULL,22975263-daf4-4bf8-1772-08db2492311d
143,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,b6d57033-e0c2-40a9-1797-08db2492311d
144,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,46e5fb0e-7f22-46af-16ac-08db2492311d
145,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,47347226-27c7-4f00-16a9-08db2492311d
146,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,01a15a7c-6bde-43ad-16f0-08db2492311d
147,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,d893a181-b371-4d39-16ff-08db2492311d
148,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,c5bc3b9b-fc81-469e-16f3-08db2492311d
149,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,57a0843c-c7ed-43b7-16e7-08db2492311d
150,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,11b68483-1718-49ae-1720-08db2492311d
151,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,09b3799f-43f6-47d6-172d-08db2492311d
152,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,068fe554-ef28-4364-1713-08db2492311d
153,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,f38853e5-606e-40ea-16d4-08db2492311d
154,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,5d58e899-d1ea-424b-1742-08db2492311d
155,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,b6119e53-b323-476c-1784-08db2492311d
156,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,1c4296f5-efa1-4c9a-88db-5500e4e27715
157,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,7f0b44f4-3cf6-4156-1793-08db2492311d
158,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,ec48f87e-8660-422f-1783-08db2492311d
159,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,910ce93b-ca9b-471d-174f-08db2492311d
160,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,560e9651-f4a8-4d9a-1734-08db2492311d
161,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,ae357c09-8fa9-4276-1737-08db2492311d
162,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,024d6fad-2f41-487e-bf32-c3c9ec6f987d
163,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,cd56c26d-9559-4716-177e-08db2492311d
164,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,9c709182-212f-4687-b468-d295842c429c
165,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,4688a0d7-5c80-4d11-bf2f-d3df3163c6fb
166,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,00c1de4d-a4b4-46ca-a39e-a62a589d3d0c
167,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,1c91705b-154c-4c63-177d-08db2492311d
168,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,952af5c9-7fe3-41ee-16db-08db2492311d
169,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,0e455c79-d7fc-46ef-a473-3510a8924a00
170,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,5b733005-a584-4d30-1773-08db2492311d
171,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,f1df0993-8773-4a32-1779-08db2492311d
172,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,d61242b6-fe83-43b4-8b68-b0262615df59
173,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,a1b19e81-4d45-49ea-b7cf-af0b44d308c2
174,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,ef5204f9-de3b-4696-b83d-4d1d11bd9af7
175,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,effa8cd1-2797-47aa-a67f-b52ac7043927
176,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,c8464cd9-ac75-43cf-b091-dfcd97d7d27d
177,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,1b9adda5-eb40-4b55-bb18-32b59a62c189
178,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,853f6f5f-84fe-4447-9ad5-08747bfdce42
179,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,6e9fbd9e-5dbb-4d46-b63c-c38b371e9b12
180,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,eebb8b4e-60ee-4172-80fa-bfceb90acdaf
181,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,c4a1df50-5250-4b51-8fb6-a5ba0b1f2c2f
182,5fa00d9b-4b0e-4d2e-b858-f3ba5538976d,NULL,6226a9ac-4fca-42ff-1f18-08db7e533518
183,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,c52f0397-c14d-4915-16d1-08db2492311d
184,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,93c184f8-c133-40d5-1798-08db2492311d
185,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,30ed1c43-f776-4c91-16bf-08db2492311d
186,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,6ca88198-13e4-4c63-1744-08db2492311d
187,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,c73e2a3d-b21f-4dd3-16fb-08db2492311d
188,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,071bf362-0d54-4f6d-1682-08db2492311d
189,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,046177f2-e2b9-4b22-1765-08db2492311d
190,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,88789a69-d206-4c50-a2da-0181e1654771
191,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,84154a75-fc76-47dc-1762-08db2492311d
192,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,d036e0a1-15b6-4950-176f-08db2492311d
193,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,3b955366-5f6e-438c-9c6f-24f7c1db3110
194,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,5dd4d2ea-8f81-410c-8914-4973bffab400
195,8aa1a9f8-8654-46a1-a90d-938b078a12ce,NULL,04a6b59a-e26f-4bdd-1791-08db2492311d
196,7ffb49f4-701b-4a90-aee0-af54a1a447be,NULL,eebc5c21-e213-454d-16c6-08db2492311d
197,7ffb49f4-701b-4a90-aee0-af54a1a447be,NULL,cf900d77-c566-485e-1704-08db2492311d
198,7ffb49f4-701b-4a90-aee0-af54a1a447be,NULL,2ec81b32-753c-4540-170b-08db2492311d
199,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,0e2993e3-7131-438f-1751-08db2492311d
200,ddf87219-27e3-4d4d-9245-9182c13a3088,NULL,7600f8fd-c942-4987-6c63-08db80423842

(200 rows affected)
