MigrationId,ProductVersion
-----------,--------------
20190114172407_initial,6.0.10
20200313193134_ConfigurationTable,6.0.10
20200313193253_WarehouseConfigurationTable,6.0.10
20200316205501_RemovingConfigurationTable,6.0.10
20200401124820_RefactoringUnbCodeWarehouseId,6.0.10
20200401174922_SetWarehouseConfigurationUnbCodeSize,6.0.10
20200403134925_VehicleTableVehicleBayTableWithMaxLength,6.0.10
20200406173449_AddVehicleLegacyId,6.0.10
20201201121938_AddItemTable,6.0.10
20201202121136_AddWarehouseTable,6.0.10
20201209185617_AddColumnDistributeMixedRouteOnASCalculusOnTableWarehouseConfiguration,6.0.10
20210211130032_AddColumnOrderByItemsSequenceOnTableWarehouseConfiguration,6.0.10
20210317195145_AddPackingGroupTable,6.0.10
20210318192959_AddColumnCodeOcpAndRemoveIsRequiredOnTableWarehouse,6.0.10
20210319123209_AddProductColumnsOnTableItem,6.0.10
20210527123002_AddStackBuilderConfigurationTable,6.0.10
20210622114504_AdjustColumnShortDescriptionSizeOnTableItem,6.0.10
20210720133934_AddColumnsIsGlobalAndIsRegionalOnTableItem,6.0.10
20210810123205_AddHsitoryTables,6.0.10
20210823144352_ChangeHistoryUserIdToGuid,6.0.10
20210825171929_AddChangedEntityToHistory,6.0.10
20210901141544_AddColumnsIsGlobalIsRegionalWarehouseUnbCodeOnTablePackingGroup,6.0.10
20210904155221_UpdateColumnCodeToNotRequiredOnFactorProduct,6.0.10
20210913193648_AddColumnParentIdOnTableHistory,6.0.10
20210916122522_AddFeatureFlagTable,6.0.10
20210924144350_AddBoxTable,6.0.10
20210929175455_Remove_Default_from_Active_on_Box,6.0.10
20211006132229_AddUniqueToItemIdInBox,6.0.10
20211007153352_AddColumnOperationOnTableHistoryAndRemoveIsRequiredOfOldValueColumnHistoryChange,6.0.10
20211021185402_RemoveProductCodeAndCodeTypeFromItem,6.0.10
20211025164324_AddItemMarketplaceTable,6.0.10
20211026142519_AddUnitsPerBoxInTableItemMarketplace,6.0.10
20211027193655_AddColumnSeparateInBoxWithoutDividerOnTableItemMarketplace,6.0.10
20211029182743_UpdateColumnNewValueToAcceptNullValueOnHistoryChange,6.0.10
20211126115221_AddColumnItemBoxTemplateOnTableItem,6.0.10
20211223203139_RenameColumnTypeItemToProductTypeCodeInTableItem,6.0.10
20220107135711_AddColumnPackingGroupIdOnTableItem,6.0.10
20220111142024_RenameItemEntityToItemPalletization,6.0.10
20220111204441_AddNewItemTable,6.0.10
20220112151035_RemoveItemAttributesAndAddItemIdOnItemPalletizationTable,6.0.10
20220112152344_RemoveCodeAndAddItemRelationshipOnItemPalletizationTable,6.0.10
20220113173222_AddColumnWarehouseIdOnItemPalletization,6.0.10
20220117151105_CreateUniqueIndexOfItemIdWarehouseIdOnItemPalletization,6.0.10
20220118125531_InsertWarehouseFromHBOCP,6.0.10
20220202191302_RemovePackingCodeAndProductTypeCodeFromItemPalletizationTable,6.0.10
20220208151742_ImportPackingGroupFromPromax,6.0.10
20220216030329_AddColumnIsCloneOnItemPalletizationTable,6.0.10
20220217135512_AddIsGlobalIsRegionalToItemPalletization,6.0.10
20220311150748_Add_BoxType_Remove_SeparatedInBoxes_And_SeparateInBoxWithoutDivider,6.0.10
20220315125616_AddWarehouseLegacyUnbCode,6.0.10
20220316211522_AddColumnActiveTableItemPalletization,6.0.10
20220602172458_AddingSubTypeFields,6.0.10
20220608212622_AddCategoryStructure,6.0.10
20220609194950_FixCategoryStructure,6.0.10
20220802145835_AddWarehouseIdColumnOnTableBox,6.0.10
20220913195800_AddRuleConfigurationTable,6.0.10
20220915105607_AddNewAttributesOnWarehouseConfigurationTable,6.0.10
20220921123423_AddLasAttributeOnWarehouseConfigurationTable,6.0.10
20221013120747_CreateZoneCountryTables,6.0.10
20221013145052_AddGroupCombinationStructure,6.0.10
20221018164441_AddColumnAllowVheicleWithoutBays,6.0.10
20221019144040_AddZoneCountryToPackingGroup,6.0.10
20221130194200_AlterHistoryRegiserIdType,6.0.10
20221222123712_AddComplexPalletHistoryRegiserIdTypeWarehouseIdOnItem,6.0.10
20230120130938_ItemPalletizationUniqueIndex,6.0.10
20230206183950_FactorProductFactordecimal6_4,6.0.10
20230214123026_AddTableSubtype,6.0.10
20230227141348_AddActiveColumnOnWarehouseTable,6.0.10
20230227235203_AddColumnUseItemsExclusiveOfWarehouse,6.0.10
20230314194901_AddFkWarehouseIdToPackingGroupTable,6.0.10
20230410132557_AddEnableSafeSideRule,6.0.10
20230426150750_AddFKWarehouseIdOnVehicleTable,6.0.10
20230530142122_Add_Customer,6.0.10
20230601005732_AddFKWarehouseIdOnWarehouseConfigurationTable,6.0.10
20230720163645_AddColumnZoneCountryId,6.0.10
20230727194851_AddColumnPackingGroup,6.0.10
20230804115014_AddColumnOriginalIdAndIndexOnItemTable,6.0.10
20231030180838_AlterTableRuleConfigurationAddColumnGenericValue,6.0.10
20240227140136_AddCatalogTables,6.0.10
20240229125522_AddDisabledDateOnItemTable,6.0.10
20240305105624_update-index,6.0.10
20240314131303_RemoveDuplicatedColumnDisableDateOnTableItem,6.0.10
20240318181943_RemoveUniqueIndexItemZoneCountryAndWarehouse,6.0.10
20240418192314_AddDisabledDateOnVehicleTableAndRemoveVehicleBayIdLegacyOnVehicleBayTable,6.0.10
20240425180512_AddColumnDisabledDateAndCatalogIdGroupCombination,6.0.10
20240425201118_AlterTableAddDisabledDateIndexOnVehicleTable,6.0.10
20240429095005_AddColumnCatalogIdTableGroupCombination,6.0.10
20240604132658_AddConfigurationTable,6.0.10
20240610173959_CreateSeedConfigurationAndRuleConfiguration,6.0.10
20240815143859_AddItemPalletizationAndFactorProductIndexes,6.0.33
20240906150858_AddAdditionalOccupationColumnOnItemPalletizationTable,6.0.33
20241025140841_AddTableUnitOfMeasure,6.0.33
20241030170233_AddPrePickingMarketplaceColumnToItemPalletization,6.0.33
20241129131737_AlterTableAlterUnSetDefaultColumnActiveOnItemPalletizationTable,6.0.33
20250312172150_AddPrePickingItemTable,6.0.33
20250331173006_AddProductClassTable,6.0.33
20250403190338_AlterTableAlterColumnNewAndOldValuesSizeOnHistoryChangeTable,6.0.33
20250409172816_AddColumnPrePickingPalletized,9.0.3
20250428172645_AddHistorySynchronizationTables,9.0.3
20250513164626_AddPrePickingBoxType,9.0.3

(100 rows affected)
